learning_rate,train_F1,test_F1
0.227,0.9565353345841151,0.9543464665415885
0.228,0.9568480300187617,0.9543464665415885
0.229,0.9568480300187617,0.9543464665415885
0.23,0.9568480300187617,0.95375
0.231,0.957011098952634,0.9543464665415885
0.232,0.9571607254534084,0.9543464665415885
0.233,0.9571607254534084,0.9543464665415885
0.234,0.9573237455057058,0.9543464665415885
0.235,0.957486714598312,0.9543464665415885
0.236,0.9576496327551179,0.9549436795994993
0.237,0.9576496327551179,0.9549436795994993
0.238,0.9576496327551179,0.9549436795994993
0.239,0.9579621815908735,0.9549436795994993
0.24,0.9579621815908735,0.9555972482801751
0.241,0.9581119099718662,0.9555972482801751
0.242,0.951969260326609,0.9611217335882728
0.243,0.9518014411529223,0.9611217335882728
0.244,0.9518014411529223,0.9611217335882728
0.245,0.9518014411529223,0.9611217335882728
0.246,0.9518014411529223,0.9611217335882728
0.247,0.9518014411529223,0.9611217335882728
0.248,0.9518014411529223,0.9611217335882728
0.249,0.9518014411529223,0.9611217335882728
0.25,0.9518014411529223,0.9611217335882728
0.251,0.9518014411529223,0.9611217335882728
0.252,0.9518014411529223,0.9611217335882728
0.253,0.9518014411529223,0.9611217335882728
0.254,0.9518014411529223,0.9611217335882728
0.255,0.9518014411529223,0.9611217335882728
0.256,0.9518014411529223,0.9611217335882728
0.257,0.9518014411529223,0.9611217335882728
0.258,0.9518014411529223,0.9611217335882728
0.259,0.9518014411529223,0.9611217335882728
0.26,0.9518014411529223,0.9611217335882728
0.261,0.9518014411529223,0.9611217335882728
0.262,0.9518014411529223,0.9611217335882728
0.263,0.9516490553954531,0.9611217335882728
0.264,0.9516490553954531,0.9611217335882728
0.265,0.9516490553954531,0.9611217335882728
0.266,0.9516490553954531,0.9611217335882728
0.267,0.951496718424844,0.9611217335882728
0.268,0.951496718424844,0.9611217335882728
0.269,0.951496718424844,0.9611217335882728
0.27,0.951496718424844,0.9611217335882728
0.271,0.951496718424844,0.9611217335882728
0.272,0.951496718424844,0.9611217335882728
0.273,0.951496718424844,0.9611217335882728
0.274,0.951496718424844,0.9611217335882728
0.275,0.951496718424844,0.9604591836734694
0.276,0.951496718424844,0.9604591836734694
0.277,0.951496718424844,0.9604591836734694
0.278,0.951496718424844,0.9604591836734694
0.279,0.951496718424844,0.9604591836734694
0.28,0.951496718424844,0.9604591836734694
0.281,0.951496718424844,0.9604591836734694
0.282,0.9516645326504481,0.9604591836734694
0.283,0.9516645326504481,0.9604591836734694
0.284,0.9516645326504481,0.9597957881301851
0.285,0.9516645326504481,0.9597957881301851
0.286,0.9516645326504481,0.9597957881301851
0.287,0.9516645326504481,0.9597957881301851
0.288,0.9516645326504481,0.9597957881301851
0.289,0.9516645326504481,0.9597957881301851
0.29,0.9518322931669067,0.9597957881301851
0.291,0.952,0.9597957881301851
0.292,0.952,0.9597957881301851
0.293,0.952,0.9597957881301851
0.294,0.952,0.9597957881301851
0.295,0.952,0.9597957881301851
0.296,0.9521676531754919,0.9597957881301851
0.297,0.9521676531754919,0.9597957881301851
0.298,0.9521676531754919,0.9597957881301851
0.299,0.9523352527191299,0.9597957881301851
0.3,0.9523352527191299,0.9597957881301851
0.301,0.9523352527191299,0.9597957881301851
0.302,0.9523352527191299,0.9597957881301851
0.303,0.9523352527191299,0.9597957881301851
0.304,0.9526551503518874,0.9597957881301851
0.305,0.9526551503518874,0.9597957881301851
0.306,0.9526551503518874,0.9604591836734694
0.307,0.9528377298161471,0.9604591836734694
0.308,0.9528377298161471,0.9604591836734694
0.309,0.9528377298161471,0.9604591836734694
0.31,0.9526854219948849,0.9617834394904459
0.311,0.9526854219948849,0.9617834394904459
0.312,0.9528528048585584,0.9617834394904459
0.313,0.9528528048585584,0.9617834394904459
0.314,0.9528528048585584,0.9617834394904459
0.315,0.9528528048585584,0.9617834394904459
0.316,0.9528528048585584,0.9617834394904459
0.317,0.9530201342281879,0.9617834394904459
0.318,0.9530201342281879,0.9617834394904459
0.319,0.9530201342281879,0.962444302991725
0.32,0.9530201342281879,0.962444302991725
0.321,0.9528678702668157,0.962444302991725
0.322,0.9528678702668157,0.962444302991725
0.323,0.9528678702668157,0.962444302991725
0.324,0.9528678702668157,0.9631043256997456
0.325,0.9528678702668157,0.9631043256997456
0.326,0.9528678702668157,0.9631043256997456
0.327,0.9528678702668157,0.9631043256997456
0.328,0.9528678702668157,0.9631043256997456
0.329,0.9528678702668157,0.9631043256997456
0.33,0.9528829260501517,0.9631043256997456
0.331,0.9528829260501517,0.9631043256997456
0.332,0.9525634882606613,0.9631043256997456
0.333,0.9525634882606613,0.9631043256997456
0.334,0.9523961661341853,0.9631043256997456
0.335,0.9523961661341853,0.9631043256997456
0.336,0.9523961661341853,0.9631043256997456
0.337,0.9523961661341853,0.9631043256997456
0.338,0.9523961661341853,0.9631043256997456
0.339,0.9523961661341853,0.9631043256997456
0.34,0.9523961661341853,0.9624920534011443
0.341,0.9525634882606613,0.9624920534011443
0.342,0.9525634882606613,0.9624920534011443
0.343,0.9525634882606613,0.9624920534011443
0.344,0.952411370169275,0.9624920534011443
0.345,0.952411370169275,0.9624920534011443
0.346,0.952411370169275,0.9624920534011443
